SELECT A CATEGORY ?,Female,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
FORM 16,,,,,,,,,,,,,,,,,,,,,
[See rule 31(1)(a)],,,,,,,,,,,,,,,,,,,,,
PART A,,,,,,,,,,,,,,,,,,,,,
"Certificate under section 203 of the Income-tax Act, 1961 for Tax deducted at source on Salary",,,,,,,,,,,,,,,,,,,,,
Name and address of the Employer,,Name and designation of the Employee,,,,,,,,,,,,,,,,,,,
VISHAKHA WAGHMARE,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
PAN of the Deductor,,TAN of the Deductor,PAN of the Employee,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CIT (TDS),,Assessment Year,Period,,,,,,,,,,,,,,,,,,
Address:,,2011-2012,From,To,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
City:                                       Pincode:,,,,,,,,,,,,,,,,,,,,,
Summary of tax deducted at source,,,,,,,,,,,,,,,,,,,,,
Quarter,Receipt Numbers of original statements of TDS under sub-section (3) of section 200,,Amount of tax deducted in respect of the employee,Amount of tax deposited/remitted in respect of the employee,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Quarter 1,,,,,,,,,,,,,,,,,,,,,
Quarter 2,,,,,,,,,,,,,,,,,,,,,
Quarter 3,,,,,,,,,,,,,,,,,,,,,
Quarter 4,,,,,,,,,,,,,,,,,,,,,
Total,,, -   , -   ,,,,,,,,,,,,,,,,,
PART B (Refer Note 1),,,,,,,,,,,,,,,,,,,,,
Details of Salary Paid and any other income and tax deducted,,,,,,,,,,,,,,,,,,,,,
,,Rs.,Rs.,Rs.,,,,,,,,,,,,,,,,,
1.  Gross Salary,,,,,,,,,,,,,,,,,,,,,
         (a) Salary as per provisions contained in sec. 17(1),, -   ,,,,,,,,,,,,,,,,,,,
"    (b) Value of perquisites u/s 17(2) (as per Form No. 12BB, wherever applicable)",, -   ,,,,,,,,,,,,,,,,,,,
"         (c) Profits in lieu of salary under section 17(3)(as per      Form No. 12BB, wherever applicable",, -   ,,,,,,,,,,,,,,,,,,,
         (d) Total,,, -   ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
2. Less: Allowance to the extent exempt U/s 10,,,,,,,,,,,,,,,,,,,,,
Allowance,Rs.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,   , -   ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
3. Balance (1-2),,, -   ,,,,,,,,,,,,,,,,,,
4. Deductions :,,,,,,,,,,,,,,,,,,,,,
     (a) Entertainment allowance,,,,,,,,,,,,,,,,,,,,,
     (b) Tax on employment,,,,,,,,,,,,,,,,,,,,,
5. Aggregate of 4(a) and (b),,, -   ,,,,,,,,,,,,,,,,,,
